,subject,tags
0,Slow Network Connection,"['slow internet connection', 'internet speed', 'improve speed']"
1,Printer Malfunction,"['printer problem', 'error messages', 'printer malfunction', 'urgent',]"
2,Email Delivery Issues,"['email delays', 'missed communication', 'email delivery problem', 'email problem']"
3,Software Crashes,"['software crashes', 'daily tasks', 'crashing']"
4,Forgotten Passwords,"['password reset', 'forgot password', 'account locked', 'access issue']"
5,VPN Connection Problems,"['VPN', 'connectivity']"
6,Hardware Failure,"['peripherals', 'monitor', 'keyboard', 'hardware issues']"
7,Email Spam Attacks,"['spam emails', 'security risks', 'email problem']"
8,Data Backup Errors,"['data backup']"
9,Audio/Video Conferencing Issues,"['audio problem', 'camera problem']"
10,Slow Software Performance,"['slow computer', 'performance issue', 'system improvement']"
11,Mobile Device Sync Issues,"['syncing', 'mobile device', 'email delays', 'calendar', 'synchronization problem', 'email problem']"
12,Printer Paper Jam,"['paper jam', 'printer problem', 'printing issue']"
13,Password Change Request,"['change password', 'security reasons']"
14,Software License Renewal,"['software license', 'renewal', 'uninterrupted access', 'critical applications']"
15,Mobile App Crashes,"['app crashes', 'mobile app', 'device issue', 'connectivity issue']"
16,Internet Browser Compatibility,"['compatibility issues', 'web-based applications', 'internet browser', 'features not functioning', 'resolving browser compatibility issue']"
17,Remote Desktop Connection Problem,"['remote access', 'connection stability']"
18,Email Signature Update,"['email signature', 'email problem']"
19,File Permission Issue,"['network drive', 'permission issue', 'file permission problem', 'accessing shared file']"
20,Software License Activation,"['software license', 'license activation']"
21,Email Attachment Error,"['email problem']"
22,Meeting Scheduler Issues,"['meeting', 'scheduling conflicts', 'fixing meeting scheduler problems']"
23,VPN Authentication Problem,"['VPN', 'remote access',]"
24,Computer Freezing,"['computer freezing', 'workflow disruption',]"
25,Email Filtering Configuration,"['email filtering', 'spam emails', 'email problem']"
26,Video Conferencing Camera Issue,"['camera problem', 'camera issue', 'conferencing tools']"
27,Access to Intranet Portal,"['intranet portal access']"
28,Bluetooth Connectivity Problem,"['Bluetooth', 'connectivity problem',]"
29,Video Playback Quality,"['camera problem', 'buffering']"
30,Critical Server Outage,"['server down', 'service unavailable', 'disruptions', 'restore server']"
31,Data Breach Alert,"['data breach', 'unauthorized access', 'mitigate risks', 'security measures']"
32,Ransomware Attack,"['ransomware', 'data encryption', 'cybersecurity measures', 'attack containment', 'data restoration']"
33,Network Infrastructure Failure,"['network infrastructure', 'catastrophic failure', 'connectivity', 'urgent']"
34,Email Outage,"['email problem', 'communication', 'outage', 'disruptions', 'urgent']"
35,Critical Software Vulnerability,"['security vulnerability', 'attack', 'urgent']"
36,Complete Data Loss,"['data loss', 'data recovery']"
37,Power Outage,"['outage', 'system shutdown', 'system disruption']"
38,Security Breach Attempt,"['unauthorized access', 'data breach', 'security measures']"
39,Critical Application Failure,"['urgent', 'business application', 'workflow']"
40,Client: Smith Electronics - Product Issue,"['computer components']"
41,Client: Johnson Appliances - Delayed Delivery,"['delayed delivery', 'urgent', 'orders']"
42,Client: Davis Electronics - Technical Support Request,"['software']"
43,Client: Wilson Home Furnishings - Product Defect,"['product defect', 'furniture products']"
44,Client: Miller Electronics - Billing Discrepancy,"['billing discrepancy']"
