,id,date,subject,resolved,description,category,priority
0,26a65692-aec8-4b19-bde5-db5731a33352,2023-11-10 01:45:32,Forgotten Passwords,True,I forgot my password and got locked out of my account. Can you please help me reset it so I can access my work?,Customer Experience,Low priority
1,4dfbbbf8-87f0-47fc-9ef4-4c0940cacb99,2023-11-13 01:45:32,Email Spam Attacks,False,"Lately, I've been receiving an excessive amount of spam emails, and I'm worried about potential security risks. Can you help address this issue?",Research and Development,Low priority
2,fe61c790-a522-4d3a-aad8-ac56d260b029,2023-11-08 15:45:32,Slow Network Connection,False,I've been experiencing a consistently slow internet connection over the past few days. This slowdown is making it extremely challenging to perform my tasks efficiently. Loading web pages and accessing online resources is taking longer than usual. Can you please investigate the root cause of this issue and take the necessary steps to improve my internet speed?,Project Management,High priority
3,9b207ff5-5ab6-43d9-b700-597ff650c364,2023-11-05 10:45:32,Printer Malfunction,True,"I'm encountering a critical issue with the office printer. It's displaying error messages every time I attempt to print, rendering it unusable. I have several important documents that need to be printed urgently. Could you please prioritize this request and address the printer malfunction as soon as possible?",Legal and Compliance,Medium priority
4,5e94e83e-de73-4dba-b39f-1ba316aa9e48,2023-11-15 22:45:32,Forgotten Passwords,True,I forgot my password and got locked out of my account. Can you please help me reset it so I can access my work?,Product Development,High priority
5,64500969-121b-4bed-b1c8-cd5d52181c67,2023-11-06 04:45:32,Email Delivery Issues,True,"I've noticed significant delays in both sending and receiving emails lately. This delay has resulted in missed communication and is affecting my ability to respond to important messages promptly. I rely heavily on email communication for my work, so it's crucial to resolve this issue swiftly. Please investigate and rectify the email delivery problem.",Human Resources,High priority
6,99b119d3-b4c8-4ae4-ac36-55f046b4268d,2023-11-12 02:45:32,VPN Connection Problems,True,"I'm having trouble connecting to the company's VPN, which I need for remote work. Can you please help me troubleshoot this problem?",Product Development,High priority
7,06551e4c-8490-413e-9513-665b06efcb43,2023-11-10 17:45:32,Email Spam Attacks,True,"Lately, I've been receiving an excessive amount of spam emails, and I'm worried about potential security risks. Can you help address this issue?",Human Resources,High priority
8,ac3853a2-da6e-4f7a-b9a4-4c287be8f918,2023-11-13 20:45:32,Printer Malfunction,False,"I'm encountering a critical issue with the office printer. It's displaying error messages every time I attempt to print, rendering it unusable. I have several important documents that need to be printed urgently. Could you please prioritize this request and address the printer malfunction as soon as possible?",Sales and Marketing,Low priority
9,fe702b13-def8-432a-95d2-ff2326d586ff,2023-11-04 12:45:32,Forgotten Passwords,False,I forgot my password and got locked out of my account. Can you please help me reset it so I can access my work?,IT and Infrastructure,Low priority
10,7111a929-5e47-4224-bf45-776a175e5c60,2023-11-07 10:45:32,VPN Connection Problems,True,"I'm having trouble connecting to the company's VPN, which I need for remote work. Can you please help me troubleshoot this problem?",Product Development,Low priority
