category,description,subject,date,user_importance_level,id,resolved,priority
Technical Support,"I'm experiencing intermittent internet connectivity issues in my office. The connection keeps dropping, making it difficult to work efficiently. Can someone from IT investigate and troubleshoot this problem?",Intermittent Internet Connectivity Issue,2024-06-12,3,1bbe70df-ef70-4213-9d81-d8af346bfe7e,False,Medium priority
Customer Service,A customer called to report that they received a damaged product in their recent order. They provided photographic evidence of the damage. Can someone from Customer Service reach out to them to arrange a replacement or refund?,Damaged Product in Order,2024-02-07,2,a1102ca6-5b18-420a-90e0-613aec5d27d7,False,High priority
Account Management,"Our client, ABC Corporation, is interested in upgrading their current subscription plan to include additional user licenses and premium features. Can someone from Account Management prepare a customized proposal outlining the cost and benefits of the upgrade?",Subscription Plan Upgrade Proposal,2024-04-01,3,a13ced16-f1da-4ced-98b6-d645733fad4b,False,Medium priority
Human Resources,I'm in the process of onboarding a new employee and need assistance with setting up their access to our internal systems and software tools. Can someone from HR provide guidance on the necessary steps to complete this process?,New Employee Onboarding Assistance,2024-03-05,1,5b95dfb9-934d-4577-960b-3b5ec33d1c64,False,High priority
Facilities,The restroom on the third floor is out of order due to a plumbing issue. It's causing inconvenience to employees and visitors. Can Facilities send a plumber to repair the problem as soon as possible?,Restroom Plumbing Issue,2024-08-30,3,fa775f22-bd00-4367-9881-c5e31a4dedc3,False,High priority
IT and Infrastructure,Several employees have reported receiving suspicious emails requesting sensitive information such as login credentials. It appears to be a phishing attempt. Can someone from IT send out a company-wide alert to raise awareness about phishing scams and provide tips on how to identify and report them?,Phishing Email Alert,2024-10-13,1,a4196f21-6f42-4282-8fe8-435316fb38b7,False,Medium priority
Sales and Marketing,"We're planning to launch a new product next month and need to create marketing collateral, including brochures, product guides, and promotional videos. Can someone from Marketing coordinate the production of these materials and ensure they're ready before the launch date?",New Product Launch Marketing Collateral,2024-03-31,1,5359bfb2-256c-42b5-8a35-f8996ef6ecc3,False,Low priority
Legal and Compliance,We've been notified of a potential copyright infringement claim against our company for unauthorized use of images on our website. Can someone from Legal review the claim and advise on the appropriate course of action to resolve the issue without legal repercussions?,Copyright Infringement Claim,2024-12-14,3,57434aa7-0970-4f43-b773-7d0852bbac87,False,High priority
Product Development,We've received feedback from beta testers about a bug in our mobile app that causes it to crash when users attempt to upload large files. Can someone from Product Development investigate the issue and release a patch to fix the bug before the official app launch?,Mobile App Crash Bug,2024-09-05,2,c1518b35-4372-4541-aec2-5f742eed4d52,False,Low priority
Project Management,"We're planning to kick off a new project to develop a mobile application for internal use by our sales team. Can someone from Project Management create a project plan outlining the scope, timeline, and resource requirements for this initiative?",Internal Mobile App Project Plan,2024-12-04,3,d8f6ea60-288b-4053-81e3-1d05e3c4cc10,False,Medium priority
Supply Chain,Our supplier for raw materials has informed us of a price increase due to rising production costs. This will impact our manufacturing budget and may require adjustments to our pricing strategy. Can someone from Supply Chain assess the impact of the price hike and propose alternative sourcing options to mitigate the cost increase?,Raw Material Price Increase Impact Assessment,2024-08-15,2,0633c8ca-6289-47fa-b423-ea82064dc0fa,False,High priority
Quality Assurance,A customer has reported a critical security vulnerability in our software that could potentially compromise user data. Can someone from QA conduct a thorough security audit and patch the vulnerability to prevent any security breaches?,Software Security Vulnerability Report,2024-05-04,3,6dbdaaa4-8317-4d4d-8856-1e0df3d5288c,False,Low priority
Research and Development,We're exploring opportunities to integrate blockchain technology into our existing product offerings to enhance data security and transparency. Can someone from R&D research blockchain solutions and provide recommendations on how we can leverage this technology effectively?,Blockchain Integration Opportunities,2024-02-09,2,0132ca53-5d44-4089-8caa-71b98864ca57,False,Medium priority
Customer Experience,"We received negative feedback from a customer about the usability of our mobile app, citing issues with navigation and slow loading times. Can someone from CX conduct a usability test to identify areas for improvement and prioritize enhancements based on user feedback?",Mobile App Usability Feedback,2024-12-22,2,c57fb7b5-e875-4fe0-ab56-d03e3b15536c,False,Medium priority
Technical Support,"I'm unable to access my email account on my mobile device using the company's email app. It keeps prompting me to enter my password, but authentication fails. Can someone from IT troubleshoot the issue and restore access to my email account?",Email Access Issue on Mobile Device,2024-10-14,2,df371956-d28e-44c5-97ca-a60115f18933,False,Low priority
